Sales Domain.[All Sales Domain],Sales Domain.[Division],Sales Domain.[Channel Group],Sales Domain.[Channel],Sales Domain.[Customer Group],Sales Domain.[Sold To]
ALL,ALL,0005641466,0005641466,0005641466,0001083212
ALL,ALL,0005992604,0005992604,0005992604,0001083225
ALL,ALL,0005992604,0005992604,0005992604,0001083227
ALL,ALL,0004322613,0004322613,0004322613,0001083238
ALL,ALL,0005643999,0005643999,0005643999,0001083242
ALL,ALL,0005992586,0005992586,0005992586,0001083263
ALL,ALL,0005992577,0005992577,0005992577,0001083264
ALL,ALL,0004322613,0004322613,0004322613,0001083265
ALL,ALL,0005644000,0005644000,0005644000,0001083267
ALL,ALL,0005644000,0005644000,0005644000,0001083268
ALL,ALL,0005644000,0005644000,0005644000,0001083269
ALL,ALL,0005643999,0005643999,0005643999,0001083270
ALL,ALL,0004322613,0004322613,0004322613,0001083271
ALL,ALL,0005338740,0005338740,0005338740,0001083272
ALL,ALL,0005339184,0005339184,0005339184,0001083273
ALL,ALL,0004322613,0004322613,0004322613,0001083274
ALL,ALL,0004322613,0004322613,0004322613,0001083275
ALL,ALL,0002563700,0002563700,0002563700,0001083277
ALL,ALL,0001108316,0001108316,0001108316,0001083278
ALL,ALL,0004322613,0004322613,0004322613,0001083280
ALL,ALL,0005339184,0005339184,0005339184,0001083281
ALL,ALL,0005641461,0005641461,0005641461,0001083282
ALL,ALL,0005338740,0005338740,0005338740,0001083284
ALL,ALL,0005992577,0005992577,0005992577,0001083298
ALL,ALL,0005338740,0005338740,0005338740,0001083300
ALL,ALL,0005339184,0005339184,0005339184,0001083301
ALL,ALL,0005643999,0005643999,0005643999,0001083305
ALL,ALL,0005338739,0005338739,0005338739,0001083309
ALL,ALL,0005339184,0005339184,0005339184,0001083310
ALL,ALL,0005339184,0005339184,0005339184,0001083311
ALL,ALL,0001108284,0001108284,0001108284,0001083314
ALL,ALL,0004322613,0004322613,0004322613,0001083315
ALL,ALL,0004322613,0004322613,0004322613,0001083316
ALL,ALL,0005339184,0005339184,0005339184,0001083317
ALL,ALL,0005339184,0005339184,0005339184,0001083324
ALL,ALL,0004322613,0004322613,0004322613,0001083325
ALL,ALL,0004322613,0004322613,0004322613,0001083326
ALL,ALL,0004322613,0004322613,0004322613,0001083327
ALL,ALL,0005339184,0005339184,0005339184,0001083328
ALL,ALL,0005339184,0005339184,0005339184,0001083329
ALL,ALL,0005338739,0005338739,0005338739,0001083330
ALL,ALL,0005338740,0005338740,0005338740,0001083331
ALL,ALL,0005339185,0005339185,0005339185,0001083332
ALL,ALL,0005338740,0005338740,0005338740,0001083340
ALL,ALL,0005644000,0005644000,0005644000,0001083351
ALL,ALL,0005338740,0005338740,0005338740,0001083353
ALL,ALL,0005641465,0005641465,0005641465,0001083367
ALL,ALL,0005338740,0005338740,0005338740,0001083369
ALL,ALL,0004322613,0004322613,0004322613,0001083370
ALL,ALL,0004322613,0004322613,0004322613,0001083372
ALL,ALL,0004322613,0004322613,0004322613,0001083376
ALL,ALL,0004322613,0004322613,0004322613,0001083380
ALL,ALL,0004322613,0004322613,0004322613,0001083381
ALL,ALL,0005992577,0005992577,0005992577,0001083382
ALL,ALL,0005843566,0005843566,0005843566,0001083383
ALL,ALL,0005339184,0005339184,0005339184,0001083386
ALL,ALL,0005339184,0005339184,0005339184,0001083393
ALL,ALL,0005338740,0005338740,0005338740,0001083398
ALL,ALL,0001108349,0001108349,0001108349,0001083400
ALL,ALL,0001108349,0001108349,0001108349,0001083403
ALL,ALL,0005338740,0005338740,0005338740,0001083417
ALL,ALL,0004322613,0004322613,0004322613,0001083419
ALL,ALL,0001108412,0001108412,0001108412,0001083420
ALL,ALL,0004548286,0004548286,0004548286,0001083422
ALL,ALL,0004322613,0004322613,0004322613,0001083427
ALL,ALL,0005339178,0005339178,0005339178,0001083440
ALL,ALL,0005339184,0005339184,0005339184,0001083444
ALL,ALL,0005641466,0005641466,0005641466,0001083445
ALL,ALL,0005641466,0005641466,0005641466,0001083446
ALL,ALL,0005339184,0005339184,0005339184,0001083457
ALL,ALL,0005339184,0005339184,0005339184,0001083483
ALL,ALL,0005339184,0005339184,0005339184,0001083484
ALL,ALL,0005076999,0005076999,0005076999,0001083485
ALL,ALL,0005339184,0005339184,0005339184,0001083487
ALL,ALL,0005641465,0005641465,0005641465,0001083495
ALL,ALL,0005338740,0005338740,0005338740,0001083496
ALL,ALL,0005641465,0005641465,0005641465,0001083497
ALL,ALL,0005641461,0005641461,0005641461,0001083498
ALL,ALL,0005641461,0005641461,0005641461,0001083499
ALL,ALL,0005992586,0005992586,0005992586,0001083510
ALL,ALL,0005338740,0005338740,0005338740,0001083515
ALL,ALL,0004322613,0004322613,0004322613,0001083516
ALL,ALL,0005986680,0005986680,0005986680,0001083523
ALL,ALL,0005339178,0005339178,0005339178,0001083525
ALL,ALL,0005644000,0005644000,0005644000,0001083526
ALL,ALL,0005641465,0005641465,0005641465,0001083530
ALL,ALL,0005992604,0005992604,0005992604,0001083532
ALL,ALL,0005339184,0005339184,0005339184,0001083535
ALL,ALL,0005338740,0005338740,0005338740,0001083538
ALL,ALL,0005339184,0005339184,0005339184,0001083571
ALL,ALL,0005338740,0005338740,0005338740,0001083574
ALL,ALL,0005643999,0005643999,0005643999,0001083576
ALL,ALL,0005992604,0005992604,0005992604,0001083578
ALL,ALL,0005338740,0005338740,0005338740,0001083609
ALL,ALL,0002563700,0002563700,0002563700,0001083611
ALL,ALL,0005338740,0005338740,0005338740,0001083615
ALL,ALL,0005644000,0005644000,0005644000,0001083624
ALL,ALL,0005338740,0005338740,0005338740,0001083630
ALL,ALL,0005338740,0005338740,0005338740,0001083638
ALL,ALL,0005643999,0005643999,0005643999,0001083644
ALL,ALL,0005641461,0005641461,0005641461,0001083651
ALL,ALL,0005641461,0005641461,0005641461,0001083666
ALL,ALL,0005339184,0005339184,0005339184,0001083671
ALL,ALL,0005339184,0005339184,0005339184,0001083672
ALL,ALL,0005641466,0005641466,0005641466,0001083681
ALL,ALL,0005843566,0005843566,0005843566,0001083684
ALL,ALL,0005843566,0005843566,0005843566,0001083686
ALL,ALL,0005339184,0005339184,0005339184,0001083703
ALL,ALL,0005992595,0005992595,0005992595,0001083709
ALL,ALL,0005644000,0005644000,0005644000,0001083711
ALL,ALL,0005338739,0005338739,0005338739,0001083713
ALL,ALL,0005641466,0005641466,0005641466,0001083715
ALL,ALL,0005644000,0005644000,0005644000,0001083716
ALL,ALL,0001108409,0001108409,0001108409,0001083719
ALL,ALL,0005339184,0005339184,0005339184,0001083721
ALL,ALL,0005641467,0005641467,0005641467,0001083722
ALL,ALL,0005992577,0005992577,0005992577,0001083725
ALL,ALL,0005641461,0005641461,0005641461,0001083750
ALL,ALL,0005643999,0005643999,0005643999,0001083757
ALL,ALL,0005641461,0005641461,0005641461,0001083767
ALL,ALL,0005641461,0005641461,0005641461,0001083768
ALL,ALL,0005644000,0005644000,0005644000,0001083769
ALL,ALL,0005338740,0005338740,0005338740,0001083776
ALL,ALL,0005986680,0005986680,0005986680,0001083777
ALL,ALL,0005644000,0005644000,0005644000,0001083779
ALL,ALL,0005338740,0005338740,0005338740,0001083782
