Item.[Item Life Cycle],Item.[Planning Item],Item.[Planning Item Disc Date]
Non POC,11000621,
Non POC,11000622,
Non POC,11000624,
Non POC,11000625,
Non POC,11000626,
Non POC,11000627,
Non POC,11000628,
Non POC,11000629,
Non POC,11000630,
Non POC,11000631,
Non POC,11000632,
Non POC,11000633,
Non POC,11000634,
Non POC,11000636,
Non POC,11000637,
Non POC,11000638,
Non POC,11000639,
Non POC,11000640,
Non POC,11000641,
Non POC,11000642,
Non POC,11000643,
Non POC,11000644,
Non POC,11000645,
Non POC,11000647,
Non POC,11000648,
Non POC,11000649,
Non POC,11000650,
Non POC,11000651,
Non POC,11000652,
Non POC,11000802,
Non POC,11000803,
Non POC,11000804,
Non POC,11000805,
Non POC,11000806,
Non POC,11000808,
Non POC,11000811,
Non POC,11000812,
Non POC,11000814,
Non POC,11000815,
Non POC,11000816,
Non POC,11000817,
Non POC,11000818,
Non POC,11000819,
Non POC,11000821,
Non POC,11000822,
Non POC,11000823,
Non POC,11000824,
Non POC,11000825,
Non POC,11000828,
Non POC,11000830,
Non POC,11000831,
Non POC,11000832,
Non POC,11000833,
Non POC,11000834,
Non POC,11000835,
Non POC,11000836,
Non POC,11000837,
Non POC,11000838,
Non POC,11000839,
Non POC,11000842,
Non POC,11000843,
Non POC,11000844,
Non POC,11000845,
Non POC,11000846,
Non POC,11000847,
Non POC,11000848,
Non POC,11000849,
Non POC,11000850,
Non POC,11000851,
Non POC,11000852,
Non POC,11000853,
Non POC,11000854,
Non POC,11000855,
Non POC,11000856,
Non POC,11000857,
Non POC,11000858,
Non POC,11000859,
Non POC,11000860,
Non POC,11000861,
Non POC,11000862,
Non POC,11000863,
Non POC,11000864,
Non POC,11000866,
Non POC,11000868,
Non POC,11000869,
Non POC,11000871,
Non POC,11000872,
Non POC,11000873,
Non POC,11000874,
Non POC,11000875,
Non POC,11000876,
Non POC,11000877,
Non POC,11000878,
Non POC,11000879,
Non POC,11000880,
Non POC,11000881,
Non POC,11000884,
Non POC,11000886,
Non POC,11000889,
Non POC,11000890,
Non POC,11000891,
Non POC,11000892,
Non POC,11000893,
Non POC,11000895,
Non POC,11000896,
Non POC,11000897,
Non POC,11000898,
Non POC,11000899,
Non POC,11000909,
Non POC,11000917,
Non POC,11000923,
Non POC,11000925,
Non POC,11000928,
Non POC,11000938,
Non POC,11000939,
Non POC,11000940,
Non POC,11000941,
Non POC,11000942,
Non POC,11000943,
Non POC,11000944,
Non POC,11000945,
Non POC,11000946,
Non POC,11000947,
Non POC,11000948,
Non POC,11000949,
Non POC,11000950,
Non POC,11000951,
Non POC,11000953,
Non POC,11000954,
Non POC,11000956,
Non POC,11000957,
Non POC,11000958,
Non POC,11000959,
Non POC,11000960,
Non POC,11000961,
Non POC,11000962,
Non POC,11000963,
Non POC,11000964,
Non POC,11000965,
Non POC,11000966,
Non POC,11000967,
Non POC,11000968,
Non POC,11000969,
Non POC,11000970,
Non POC,11000971,
Non POC,11000982,
Non POC,11000984,
Non POC,11000986,
Non POC,11000987,
Non POC,11000990,
Non POC,11000991,
Non POC,11000992,
Non POC,11000993,
Non POC,11000999,
Non POC,11001000,
Non POC,11001005,
Non POC,11001006,
Non POC,11001007,
Non POC,11001008,
Non POC,11001009,
Non POC,11001010,
Non POC,11001014,
Non POC,11001015,
Non POC,11001016,
Non POC,11001017,
Non POC,11001021,
Non POC,11001022,
Non POC,11001023,
Non POC,11001024,
Non POC,11001025,
Non POC,11001027,
Non POC,11001028,
Non POC,11001029,
Non POC,11001030,
Non POC,11001031,
Non POC,11001032,
Non POC,11001033,
Non POC,11001034,
Non POC,11001035,
Non POC,11001036,
Non POC,11001038,
Non POC,11001039,
Non POC,11001040,
Non POC,11001041,
Non POC,11001042,
Non POC,11001043,
Non POC,11001044,
Non POC,11001046,
Non POC,11001047,
Non POC,11001048,
Non POC,11001050,
Non POC,11001051,
Non POC,11001052,
Non POC,11001057,
Non POC,11001058,
Non POC,11001059,
Non POC,11001060,
Non POC,11001061,
Non POC,11001062,
Non POC,11001063,
Non POC,11001065,
Non POC,11001067,
Non POC,11001069,
Non POC,11001070,
Non POC,11001071,
Non POC,11001072,
Non POC,11001074,
Non POC,11001075,
Non POC,11001076,
Non POC,11001077,
Non POC,11001078,
Non POC,11001079,
Non POC,11001080,
Non POC,11001081,
Non POC,11001082,
Non POC,11001083,
Non POC,11001084,
Non POC,11001085,
Non POC,11001086,
Non POC,11001087,
Non POC,11001088,
Non POC,11001089,
Non POC,11001090,
Non POC,11001091,
Non POC,11001092,
Non POC,11001093,
Non POC,11001094,
Non POC,11001095,
Non POC,11001096,
Non POC,11001097,
Non POC,11001099,
Non POC,11001100,
Non POC,11001101,
Non POC,11001102,
Non POC,11001103,
Non POC,11001104,
Non POC,11001105,
Non POC,11001106,
Non POC,11001109,
Non POC,11001110,
Non POC,11001111,
Non POC,11001112,
Non POC,11001113,
Non POC,11001114,
Non POC,11001115,
Non POC,11001118,
Non POC,11001119,
Non POC,11001120,
Non POC,11001121,
Non POC,11001122,
Non POC,11001123,
Non POC,11001124,
Non POC,11001125,
Non POC,11001126,
Non POC,11001127,
Non POC,11001128,
Non POC,11001129,
Non POC,11001130,
Non POC,11001131,
Non POC,11001133,
Non POC,11001140,
Non POC,11001141,
Non POC,11001142,
Non POC,11001143,
Non POC,11001144,
Non POC,11001145,
Non POC,11001146,
Non POC,11001147,
Non POC,11001148,
Non POC,11001149,
Non POC,11001150,
Non POC,11001151,
Non POC,11001152,
Non POC,11001153,
Non POC,11001154,
Non POC,11001155,
Non POC,11001156,
Non POC,11001157,
Non POC,11001158,
Non POC,11001159,
Non POC,11001160,
Non POC,11001161,
Non POC,11001162,
Non POC,11001163,
Non POC,11001164,
Non POC,11001165,
Non POC,11001167,
Non POC,11001168,
Non POC,11001169,
Non POC,11001172,
Non POC,11001179,
Non POC,11001180,
Non POC,11001181,
Non POC,11001182,
Non POC,11001183,
Non POC,11001184,
Non POC,11001185,
Non POC,11001186,
Non POC,11001187,
Non POC,11001188,
Non POC,11001189,
Non POC,11001190,
Non POC,11001191,
Non POC,11001192,
Non POC,11001193,
Non POC,11001194,
Non POC,11001195,
Non POC,11001196,
Non POC,11001197,
Non POC,11001198,
Non POC,11001201,
Non POC,11001202,
Non POC,11001203,
Non POC,11001204,
Non POC,11001205,
Non POC,11001206,
Non POC,11001207,
Non POC,11001209,
Non POC,11001210,
Non POC,11001211,
Non POC,11001212,
Non POC,11001213,
Non POC,11001214,
Non POC,11001215,
Non POC,11001216,
Non POC,11001217,
Non POC,11001218,
Non POC,11001219,
Non POC,11001220,
Non POC,11001221,
Non POC,11001222,
Non POC,11001223,
Non POC,11001224,
Non POC,11001225,
Non POC,11001226,
Non POC,11001227,
Non POC,11001228,
Non POC,11001229,
Non POC,11001230,
Non POC,11001231,
Non POC,11001232,
Non POC,11001233,
Non POC,11001234,
Non POC,11001235,
Non POC,11001236,
Non POC,11001237,
Non POC,11001238,
Non POC,11001239,
Non POC,11001240,
Non POC,11001241,
Non POC,11001242,
Non POC,11001243,
Non POC,11001244,
Non POC,11001245,
Non POC,11001247,
Non POC,11001248,
Non POC,11001249,
Non POC,11001250,
Non POC,11001251,
Non POC,11001254,
Non POC,11001255,
Non POC,11001256,
